"RecordID","RaceID","CO","JUR","CNTYNAME","YEAR","DATE","CSD","PLACE","OFFICE","RECODE_OFFICE","RECODE_OFFNAME","AREA","TERM","VOTE.","LAST","FIRST","BALDESIG","INCUMB","Num_Inc","CAND.","VOTES","WRITEIN","SUMVOTES","TOTVOTES","PERCENT","RVOTES","ELECTED","RUNOFF","CHECKRUNOFF","Multi_RaceID","Multi_CandID","Multi_CO","indivtotal_votes","total_writein","multitotal_votes","newtotvotes","Rindivto","newelected","year"
199500001,199500001,1,2,"ALAMEDA",1995,1995-06-06,0,"FREMONT","CITY COUNCIL",2,"CITY COUNCIL",NA,"Full",1,"Batara","Lindy G.","Educator/Economist/Paralegal","N",2,4,411,0,10753,10753,0.0382218915651446,4,2,NA,0,199500001,199500001,0,411,0,10753,10753,4,2,1995
199500002,199500001,1,2,"ALAMEDA",1995,1995-06-06,0,"FREMONT","CITY COUNCIL",2,"CITY COUNCIL",NA,"Full",1,"Petersen","James P.","Local Business Owner","N",2,4,1485,0,10753,10753,0.138100995071143,3,2,NA,0,199500001,199500002,0,1485,0,10753,10753,3,2,1995
199500003,199500001,1,2,"ALAMEDA",1995,1995-06-06,0,"FREMONT","CITY COUNCIL",2,"CITY COUNCIL",NA,"Full",1,"Wilkowsky","Dan","Environmental Engineering Manager","N",2,4,3954,0,10753,10753,0.367711336371245,2,2,NA,0,199500001,199500003,0,3954,0,10753,10753,2,2,1995
199500004,199500001,1,2,"ALAMEDA",1995,1995-06-06,0,"FREMONT","CITY COUNCIL",2,"CITY COUNCIL",NA,"Full",1,"Zager","Jonelle Joan","Business Person","N",2,4,4903,0,10753,10753,0.455965776992467,1,1,1,0,199500001,199500004,0,4903,0,10753,10753,1,1,1995
199500005,199500002,1,2,"ALAMEDA",1995,1995-11-07,0,"LIVERMORE","CITY COUNCIL",2,"CITY COUNCIL",NA,"Full",2,"Billheimer","John A.","Small Business Owner","N",2,4,4189,0,19588,19588,0.213855421686747,4,2,NA,0,199500002,199500005,0,4189,0,19588,19588,4,2,1995
199500006,199500002,1,2,"ALAMEDA",1995,1995-11-07,0,"LIVERMORE","CITY COUNCIL",2,"CITY COUNCIL",NA,"Full",2,"Ferrucci","Michael F.","Businessman/Volunteer","N",2,4,4237,0,19588,19588,0.216305901572391,3,2,NA,0,199500002,199500006,0,4237,0,19588,19588,3,2,1995
199500007,199500002,1,2,"ALAMEDA",1995,1995-11-07,0,"LIVERMORE","CITY COUNCIL",2,"CITY COUNCIL",NA,"Full",2,"Vargas","Tom","Councilmember/Local Businessman","Y",1,4,6023,0,19588,19588,0.307484173984072,1,1,NA,0,199500002,199500007,0,6023,0,19588,19588,1,1,1995
199500008,199500002,1,2,"ALAMEDA",1995,1995-11-07,0,"LIVERMORE","CITY COUNCIL",2,"CITY COUNCIL",NA,"Full",2,"Wieskamp","Ayn","Councilmember","Y",1,4,5139,0,19588,19588,0.26235450275679,2,1,NA,0,199500002,199500008,0,5139,0,19588,19588,2,1,1995
199500009,199500003,1,2,"ALAMEDA",1995,1995-11-07,0,"NEWARK","CITY COUNCIL",2,"CITY COUNCIL",NA,"Full",2,"Dane","Jack","Manager/Tax Preparer","N",2,5,643,0,6729,6729,0.0955565462921682,4,2,NA,0,199500003,199500009,0,643,0,6729,6729,4,2,1995
199500010,199500003,1,2,"ALAMEDA",1995,1995-11-07,0,"NEWARK","CITY COUNCIL",2,"CITY COUNCIL",NA,"Full",2,"Freitas","Luis L.","Business Owner","N",2,5,1559,0,6729,6729,0.231683756873235,2,1,NA,0,199500003,199500010,0,1559,0,6729,6729,2,1,1995
199500011,199500003,1,2,"ALAMEDA",1995,1995-11-07,0,"NEWARK","CITY COUNCIL",2,"CITY COUNCIL",NA,"Full",2,"Hentschke","Eric A.","Science Teacher","N",2,5,582,0,6729,6729,0.0864913062862238,5,2,NA,0,199500003,199500011,0,582,0,6729,6729,5,2,1995
199500012,199500003,1,2,"ALAMEDA",1995,1995-11-07,0,"NEWARK","CITY COUNCIL",2,"CITY COUNCIL",NA,"Full",2,"Johnson","Susan","Small Business Owner","N",2,5,2398,0,6729,6729,0.356367959577946,1,1,NA,0,199500003,199500012,0,2398,0,6729,6729,1,1,1995
199500013,199500003,1,2,"ALAMEDA",1995,1995-11-07,0,"NEWARK","CITY COUNCIL",2,"CITY COUNCIL",NA,"Full",2,"Salinas","Vincent B.","Councilman/Financial Analyst","Y",1,5,1547,0,6729,6729,0.229900430970427,3,2,NA,0,199500003,199500013,0,1547,0,6729,6729,3,2,1995
199500014,199500004,1,2,"ALAMEDA",1995,1995-11-07,0,"UNION CITY","CITY COUNCIL",2,"CITY COUNCIL",NA,"Full",1,"Delucchi","Steven M.","Attorney At Law","N",2,3,1981,0,5703,5703,0.347361038050149,2,2,NA,0,199500004,199500014,0,1981,0,5703,5703,2,2,1995
199500015,199500004,1,2,"ALAMEDA",1995,1995-11-07,0,"UNION CITY","CITY COUNCIL",2,"CITY COUNCIL",NA,"Full",1,"Elias","Benjamin","Councilmember/Businessman","Y",1,3,3093,0,5703,5703,0.542346133613887,1,1,NA,0,199500004,199500015,0,3093,0,5703,5703,1,1,1995
199500016,199500004,1,2,"ALAMEDA",1995,1995-11-07,0,"UNION CITY","CITY COUNCIL",2,"CITY COUNCIL",NA,"Full",1,"Wargo","Leonard A.","Aircraft Mechanic","N",2,3,629,0,5703,5703,0.110292828335964,3,2,NA,0,199500004,199500016,0,629,0,5703,5703,3,2,1995
199500017,199500005,1,2,"ALAMEDA",1995,1995-11-07,0,"LIVERMORE","CITY MAYOR",6,"OTHER CITY OFFICE",NA,"Full",1,"Brown","Cathie","Mayor","Y",1,1,8130,0,8130,8130,1,1,1,NA,0,199500005,199500017,0,8130,0,8130,8130,1,1,1995
199500018,199500006,1,2,"ALAMEDA",1995,1995-11-07,0,"NEWARK","CITY MAYOR",6,"OTHER CITY OFFICE",NA,"Full",1,"Moreno","Emma","Student","N",2,2,567,0,3636,3636,0.155940594059406,2,2,NA,0,199500006,199500018,0,567,0,3636,3636,2,2,1995
199500019,199500006,1,2,"ALAMEDA",1995,1995-11-07,0,"NEWARK","CITY MAYOR",6,"OTHER CITY OFFICE",NA,"Full",1,"Smith","David W.","Mayor","Y",1,2,3069,0,3636,3636,0.844059405940594,1,1,NA,0,199500006,199500019,0,3069,0,3636,3636,1,1,1995
199500020,199500007,1,2,"ALAMEDA",1995,1995-11-07,0,"UNION CITY","CITY MAYOR",6,"OTHER CITY OFFICE",NA,"Full",1,"Arce","Alice","City Councilmember","N",2,2,2207,0,5823,5823,0.379014253821054,2,2,NA,0,199500007,199500020,0,2207,0,5823,5823,2,2,1995
