"Name";"FIPS";"CEDA"
"Alpine";3;2
"Amador";5;3
"Butte";7;4
"Calaveras";9;5
"Colusa";11;6
"Del Norte";15;8
"El Dorado";17;9
"Glenn";21;11
"Humboldt";23;12
"Imperial";25;13
"Inyo";27;14
"Lake";33;17
"Lassen";35;18
"Madera";39;20
"Mariposa";43;22
"Mendocino";45;23
"Merced";47;24
"Modoc";49;25
"Mono";51;26
"Napa";55;28
"Nevada";57;29
"Placer";61;31
"Plumas";63;32
"San Benito";69;35
"Shasta";89;45
"Sierra";91;46
"Siskiyou";93;47
"Sutter";101;51
"Tehama";103;52
"Trinity";105;53
"Tulare";107;54
"Tuolumne";109;55
"Yolo";113;57
"Yuba";115;58
